name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
Erica Powers,male,42.0,3rd,S,United States,5547.0,7.11,0.0,0.0,no
Logan Lee,male,13.0,3rd,S,United States,2673.0,20.05,0.0,2.0,no
Randall Jackson,male,16.0,3rd,S,United States,2673.0,20.05,1.0,1.0,no
David Fox,female,39.0,3rd,S,England,2673.0,20.05,1.0,1.0,yes
Sarah Mitchell,female,16.0,3rd,S,Norway,348125.0,7.13,0.0,0.0,yes
Monica Mcdaniel,male,25.0,3rd,S,United States,348122.0,7.13,0.0,0.0,yes
Michael Thompson,male,30.0,2nd,C,France,3381.0,24.0,1.0,0.0,no
Cody Johnson,female,28.0,2nd,C,France,3381.0,24.0,1.0,0.0,yes
Jason Hernandez,male,27.0,3rd,C,Lebanon,2699.0,18.1509,0.0,0.0,yes
Rebekah Pope,male,20.0,3rd,S,Finland,3101284.0,7.1806,0.0,0.0,yes
Chelsea Elliott,male,30.0,3rd,S,Sweden,7076.0,7.05,0.0,0.0,no
Vanessa Henry,male,27.0,3rd,S,England,341826.0,8.01,0.0,0.0,no
Michael Price,female,40.0,3rd,S,Sweden,7546.0,9.0906,1.0,0.0,no
Victoria Perry,male,0.8333333333,3rd,S,England,392091.0,9.07,0.0,1.0,yes
William Golden,female,18.0,3rd,S,England,392091.0,9.07,0.0,1.0,yes
Allison Parker,male,35.0,2nd,S,England,248744.0,13.0,0.0,0.0,no
Jose Ellis,male,25.0,3rd,S,England,3474.0,7.1709,0.0,0.0,no
Brandon Brown,male,19.0,3rd,S,Finland,3101287.0,7.1806,0.0,0.0,no
Antonio Patton,male,24.0,3rd,S,Argentina,3101311.0,7.01,0.0,0.0,no
Kimberly Jones,male,25.0,3rd,S,Argentina,3101312.0,7.01,0.0,0.0,no
James Higgins,female,29.0,1st,S,United States,24160.0,211.6009,0.0,0.0,yes
Michelle Braun,male,39.0,3rd,S,England,373450.0,8.01,0.0,0.0,no
Adam Hill,male,0.9166666667,1st,S,Canada,113781.0,151.16,1.0,2.0,yes
Jennifer Davis,female,2.0,1st,S,Canada,113781.0,151.16,1.0,2.0,no
Tara Robertson,male,30.0,1st,S,Canada,113781.0,151.16,1.0,2.0,no
Kathryn Jones,female,25.0,1st,S,United States,113781.0,151.16,1.0,2.0,no
Cynthia Mullen,male,18.0,3rd,S,England,2223.0,8.06,0.0,0.0,no
Brittany Roberts,male,19.0,3rd,C,Lebanon,2700.0,7.0407,0.0,0.0,no
Melissa Wang,female,19.0,3rd,S,Denmark,350046.0,7.1701,1.0,0.0,yes
Shawn Smith MD,male,33.0,3rd,S,Norway,4001.0,22.1006,0.0,0.0,no
David Delgado,male,47.0,1st,S,United States,19952.0,26.11,0.0,0.0,yes
Nicole Pitts,male,4.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
Erica Rodriguez,female,6.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
Peter Campbell,female,2.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
Donna Martinez,female,16.0,3rd,S,Finland,3101281.0,7.1806,4.0,2.0,yes
Kristin Wong,female,38.0,3rd,S,Sweden,347091.0,7.1506,4.0,2.0,no
Robert Nichols,female,9.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
Melissa Baker,female,11.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
Larry Smith,male,39.0,3rd,S,Sweden,347082.0,31.0506,1.0,5.0,no
David Howell,male,26.0,3rd,S,Sweden,347075.0,7.1506,0.0,0.0,no
Cheyenne Anderson,female,39.0,3rd,S,Sweden,347082.0,31.0506,1.0,5.0,no
Jeffrey Hamilton,male,20.0,3rd,S,Sweden,347466.0,7.1701,0.0,0.0,no
Gabriel Sherman,male,17.0,2nd,S,Argentina,231945.0,11.1,0.0,0.0,no
Evelyn Rodriguez,male,27.0,2nd,S,England,34050.0,10.1,0.0,0.0,no
Diana Hernandez,female,62.0,1st,C,United States,13502.0,77.1902,1.0,0.0,yes
Kevin Welch,male,39.0,1st,B,Northern Ireland,112050.0,,0.0,0.0,no
Cynthia West,male,26.0,3rd,S,Bulgaria,349202.0,7.1711,0.0,0.0,no
Kenneth Riddle,female,36.0,2nd,S,England,226875.0,26.0,1.0,0.0,yes
Frank Miller,male,31.0,2nd,S,England,226875.0,26.0,1.0,0.0,no
Curtis Phillips,female,53.0,1st,S,United States,11769.0,51.0907,2.0,0.0,yes
Omar Williams,male,25.0,3rd,S,Switzerland,349237.0,17.16,1.0,0.0,no
Amy Morton,female,18.0,3rd,S,Switzerland,349237.0,17.16,1.0,0.0,no
Calvin Bender,male,25.0,3rd,S,Sweden,349911.0,7.1506,0.0,0.0,no
David Jenkins,male,71.0,1st,C,Argentina,17609.0,49.1001,0.0,0.0,no
Tara Atkins,male,57.0,2nd,S,England,244346.0,13.0,0.0,0.0,no
Brian Davis,male,35.0,3rd,S,Argentina,3101310.0,7.01,0.0,0.0,no
Krystal Clark DVM,male,5.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,no
Amanda Cantrell,male,9.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,no
Robert Brown,male,3.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,yes
Samantha Blanchard,male,13.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,no
Darlene Flores,female,5.0,3rd,S,Sweden,347077.0,31.0709,4.0,2.0,yes
Robert Morris,male,40.0,3rd,S,Sweden,347077.0,31.0709,1.0,5.0,no
Stacy Davis,male,23.0,3rd,S,Sweden,350054.0,7.1511,0.0,0.0,yes
Kathy Diaz,female,38.0,3rd,S,Sweden,347077.0,31.0709,1.0,5.0,yes
Tara Ross,female,45.0,3rd,C,Lebanon,2696.0,7.0406,0.0,0.0,yes
Natasha Wong,male,23.0,3rd,S,Argentina,3101309.0,7.01,0.0,0.0,no
Sheila Maynard,male,47.0,1st,C,United States,17757.0,247.1006,1.0,0.0,no
Christian Parker,female,18.0,1st,C,United States,17757.0,247.1006,1.0,0.0,yes
Victoria Petersen,female,17.0,3rd,C,Lebanon,2627.0,14.0902,0.0,0.0,no
Stephanie Gomez,male,27.0,3rd,C,Canada,2694.0,7.0406,0.0,0.0,no
Dwayne Boyd,female,24.0,1st,C,France,17477.0,69.06,0.0,0.0,yes
Dr. Michael Weiss,male,23.0,3rd,S,Sweden,347468.0,7.1701,0.0,0.0,no
Brenda Johnson,female,15.0,3rd,C,Lebanon,2687.0,7.0407,0.0,0.0,yes
Daniel Johnson,male,32.0,3rd,S,Finland,3101278.0,15.17,1.0,0.0,no
Tiffany Lyons,female,33.0,3rd,S,Finland,3101278.0,15.17,3.0,0.0,yes
Julie Clay,female,3.0,3rd,C,Lebanon,2666.0,19.0502,2.0,1.0,yes
Andrew Chandler,female,0.75,3rd,C,Lebanon,2666.0,19.0502,2.0,1.0,yes
David West,female,5.0,3rd,C,Lebanon,2666.0,19.0502,2.0,1.0,yes
Jacqueline Fuller,female,23.0,3rd,C,Lebanon,2666.0,19.0502,0.0,3.0,yes
Jordan Wiggins,female,18.0,3rd,S,England,31416.0,8.01,0.0,0.0,yes
William Green,male,40.0,3rd,C,Lebanon,2623.0,7.0406,0.0,0.0,no
Jennifer Davis,male,18.0,2nd,S,England,29108.0,11.1,0.0,0.0,no
William Schroeder,male,22.0,2nd,S,Channel Islands,31030.0,10.1,0.0,0.0,no
Chase Robbins,male,26.0,3rd,S,Bosnia,349248.0,7.1711,0.0,0.0,no
Jason Wheeler,female,36.0,2nd,S,England,28551.0,13.0,0.0,0.0,yes
Katie Acosta,male,28.0,2nd,S,England,34068.0,10.1,0.0,0.0,no
Diamond Henry,female,31.0,3rd,S,Hungary,349244.0,8.1308,0.0,0.0,yes
Brandon Mitchell,female,18.0,3rd,C,Lebanon,2691.0,14.0901,0.0,1.0,no
Kristen Foster,female,45.0,3rd,C,Lebanon,2691.0,14.0901,0.0,1.0,no
Allen Flores,female,27.0,1st,S,,19877.0,78.17,0.0,0.0,yes
Valerie Dougherty,male,47.0,1st,S,England,27042.0,30.0,0.0,0.0,yes
Wayne Pham,female,30.0,3rd,Q,Ireland,330844.0,7.1707,0.0,0.0,no
Melissa James,male,22.0,3rd,S,England,324669.0,8.01,0.0,0.0,no
Heather Davis,female,32.0,1st,C,Italy,11813.0,76.051,0.0,0.0,yes
Janet Rowe,male,52.0,2nd,S,England,1166.0,12.1006,0.0,0.0,no
David Walker,male,23.0,3rd,S,Bulgaria,349217.0,7.1711,0.0,0.0,no
Kelsey Williams,male,60.0,1st,C,United States,17318.0,25.1806,0.0,0.0,no
Edward Richards,male,24.0,1st,C,Canada,17558.0,247.1005,0.0,1.0,no
Brianna Berg,female,50.0,1st,C,Canada,17558.0,247.1005,0.0,1.0,yes
Brenda Ford MD,male,32.0,2nd,S,England,2908.0,26.0,1.0,0.0,yes
Dean Bass,female,22.0,2nd,S,England,2908.0,26.0,1.0,0.0,yes
Wayne Richard,male,36.0,1st,S,Canada,13050.0,75.041,0.0,0.0,no
Jay Lewis,male,44.0,2nd,S,England,244358.0,26.0,0.0,0.0,no
Joel Richards,male,20.0,3rd,S,England,323951.0,8.01,0.0,0.0,no
Nathaniel Vang,male,1.0,2nd,S,India,230136.0,39.0,2.0,1.0,yes
Crystal Martin,female,4.0,2nd,S,India,230136.0,39.0,2.0,1.0,yes
Alex Lewis,female,12.0,2nd,S,India,230136.0,39.0,2.0,1.0,yes
Ashley Bailey,female,35.0,2nd,S,United States,230136.0,39.0,0.0,3.0,yes
Stephanie Merritt,male,37.0,1st,S,United States,11751.0,52.1101,1.0,1.0,yes
Erica Owen,female,46.0,1st,S,United States,11751.0,52.1101,1.0,1.0,yes
Melissa Steele,male,34.0,2nd,S,England,248698.0,13.0,0.0,0.0,yes
Kathleen Butler,male,26.0,1st,C,United States,111369.0,30.0,0.0,0.0,yes
Jessica Chavez,male,26.0,3rd,S,Sweden,347068.0,7.1506,0.0,0.0,no
Christopher Sims,female,19.0,2nd,S,United States,28404.0,13.0,0.0,0.0,yes
Debra Wood,male,22.0,3rd,S,Finland,4348.0,9.07,0.0,0.0,no
Veronica Hayes,male,23.0,2nd,S,England,28425.0,13.0,0.0,0.0,no
Sandra Anderson,female,39.0,1st,C,United States,17760.0,63.0702,0.0,0.0,yes
Karen Page,female,46.0,1st,C,,17757.0,247.1006,0.0,0.0,yes
Jordan Maldonado,male,32.0,3rd,S,,1601.0,56.0911,0.0,0.0,yes
Erica Ross,female,31.0,1st,S,England,17483.0,221.1507,0.0,0.0,yes
Sara Johnson,male,21.0,3rd,S,Norway,312992.0,7.1506,0.0,0.0,no
Norma Mayer,male,24.0,1st,C,,13905.0,26.0,0.0,0.0,no
Dave Sanchez,male,25.0,1st,C,United States,11967.0,91.0107,1.0,0.0,yes
Aaron Decker,female,19.0,1st,C,United States,11967.0,91.0107,1.0,0.0,yes
Susan Mcclain,male,18.0,3rd,S,Sweden,347090.0,7.15,0.0,0.0,no
Steven Day,male,28.0,1st,S,Sweden,110564.0,26.11,0.0,0.0,yes
David Gibbs,male,45.0,1st,S,United States,113784.0,35.1,0.0,0.0,no
Kathy Miranda,male,39.0,1st,C,United States,112277.0,31.0,0.0,0.0,yes
Linda Crawford,female,30.0,1st,S,United States,36928.0,164.1704,0.0,0.0,yes
Nicole King,female,61.0,1st,S,England,113783.0,26.11,0.0,0.0,yes
Gregory Mills,male,41.0,1st,S,England,110489.0,26.11,0.0,0.0,no
Sean Maddox,male,26.0,3rd,S,,349224.0,7.1711,0.0,0.0,no
Maureen Williams,male,25.0,2nd,S,United States,237670.0,13.0,0.0,0.0,no
Sarah Lowe,female,40.0,3rd,Q,Ireland,364848.0,7.15,0.0,2.0,no
Charles Smith,male,42.0,3rd,Q,Ireland,364849.0,15.1,1.0,1.0,no
Cassandra Palmer,female,32.0,3rd,Q,Ireland,364849.0,15.1,1.0,1.0,no
Nicholas Clark,female,45.0,1st,C,United States,17608.0,262.0706,0.0,0.0,yes
Michael Davis,male,26.0,3rd,S,Wales,54636.0,16.02,0.0,0.0,no
Michelle Carter,male,42.0,2nd,S,,211535.0,13.0,0.0,0.0,no
