name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
Justin Griffin,male,46,3rd,S,Nationality_1,390323.56308366585,4.635485280556864,0.0,0.0,no
Sean Smith,male,14,3rd,S,Nationality_1,3128318.563083666,17.575485280556865,0.0,2.0,no
Garrett Parker,male,14,3rd,S,Nationality_1,374115.56308366585,17.575485280556865,1.0,1.0,no
Kevin Anderson,female,30,3rd,S,Nationality_2,374133.56308366585,17.575485280556865,1.0,1.0,yes
Nicole Carney,female,14,3rd,S,Nationality_3,394281.56308366585,4.655485280556864,0.0,0.0,yes
Hannah Ortega,male,30,3rd,S,Nationality_1,29733.563083665864,4.655485280556864,0.0,0.0,yes
Christina Burnett,male,30,2nd,C,Nationality_4,277705.56308366585,21.525485280556865,1.0,0.0,no
Raven Hickman,female,30,2nd,C,Nationality_4,264786.56308366585,21.525485280556865,1.0,0.0,yes
Brad Smith,male,30,3rd,C,Nationality_5,29726.563083665864,15.676385280556865,0.0,0.0,yes
Carrie Barnes,male,14,3rd,S,Nationality_6,374128.56308366585,4.706085280556863,0.0,0.0,yes
Brenda Reid,male,30,3rd,S,Nationality_7,28652.563083665864,4.575485280556864,0.0,0.0,no
Ashley Nielsen,male,30,3rd,S,Nationality_2,340043.56308366585,5.535485280556863,0.0,0.0,no
Anna Mcgee,female,30,3rd,S,Nationality_7,392277.56308366585,6.616085280556863,1.0,0.0,no
Michael Adams,male,14,3rd,S,Nationality_2,376254.56308366585,6.595485280556863,0.0,1.0,yes
Jennifer Price,female,14,3rd,S,Nationality_2,361963.56308366585,6.595485280556863,0.0,1.0,yes
Amber Barry,male,30,2nd,S,Nationality_2,27802.563083665864,10.525485280556865,0.0,0.0,no
Julia Terry,male,30,3rd,S,Nationality_2,35526.56308366587,4.696385280556862,0.0,0.0,no
Christina Williams,male,14,3rd,S,Nationality_6,374134.56308366585,4.706085280556863,0.0,0.0,no
Kenneth Jefferson,male,30,3rd,S,Nationality_8,28273.563083665864,4.535485280556863,0.0,0.0,no
Stephen Wolfe,male,30,3rd,S,Nationality_8,33658.56308366587,4.535485280556863,0.0,0.0,no
Richard Sanders,female,30,1st,S,Nationality_1,44528.56308366587,209.1263852805569,0.0,0.0,yes
Brenda Duncan DVM,male,30,3rd,S,Nationality_2,3128365.563083666,5.535485280556863,0.0,0.0,no
Mary Mitchell,male,14,1st,S,Nationality_9,137464.56308366585,148.68548528055686,1.0,2.0,yes
Holly Freeman,female,14,1st,S,Nationality_9,139428.56308366585,148.68548528055686,1.0,2.0,no
Michael Sawyer,male,30,1st,S,Nationality_9,137615.56308366585,148.68548528055686,1.0,2.0,no
Renee Watkins,female,30,1st,S,Nationality_1,40265.56308366587,148.68548528055686,1.0,2.0,no
Isaac Elliott,male,14,3rd,S,Nationality_2,372814.56308366585,5.585485280556863,0.0,0.0,no
Nancy Reyes,male,14,3rd,C,Nationality_5,27902.563083665864,4.566185280556864,0.0,0.0,no
Francisco Malone,female,14,3rd,S,Nationality_10,358031.56308366585,4.695585280556863,1.0,0.0,yes
Bryan Reynolds,male,30,3rd,S,Nationality_3,29701.563083665864,19.626085280556865,0.0,0.0,no
Katherine Byrd,male,46,1st,S,Nationality_1,44807.56308366587,23.635485280556864,0.0,0.0,yes
Lauren Buck,male,14,3rd,S,Nationality_7,29676.563083665864,28.576085280556864,4.0,2.0,no
Miguel Cabrera,female,14,3rd,S,Nationality_7,374131.56308366585,28.576085280556864,4.0,2.0,no
Samantha Castillo,female,14,3rd,S,Nationality_7,374113.56308366585,28.576085280556864,4.0,2.0,no
