name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
Justin Griffin,male,40-60,3rd,S,United States,390323.56308366585,4.635485280556864,0.0,0.0,no
Sean Smith,male,0-20,3rd,S,United States,3128318.563083666,17.575485280556865,0.0,2.0,no
Garrett Parker,male,0-20,3rd,S,United States,374115.56308366585,17.575485280556865,1.0,1.0,no
Kevin Anderson,female,20-40,3rd,S,England,374133.56308366585,17.575485280556865,1.0,1.0,yes
Nicole Carney,female,0-20,3rd,S,Norway,394281.56308366585,4.655485280556864,0.0,0.0,yes
Hannah Ortega,male,20-40,3rd,S,United States,29733.563083665864,4.655485280556864,0.0,0.0,yes
Christina Burnett,male,20-40,2nd,C,France,277705.56308366585,21.525485280556865,1.0,0.0,no
Raven Hickman,female,20-40,2nd,C,France,264786.56308366585,21.525485280556865,1.0,0.0,yes
Brad Smith,male,20-40,3rd,C,Lebanon,29726.563083665864,15.676385280556865,0.0,0.0,yes
Carrie Barnes,male,0-20,3rd,S,Finland,374128.56308366585,4.706085280556863,0.0,0.0,yes
Brenda Reid,male,20-40,3rd,S,Sweden,28652.563083665864,4.575485280556864,0.0,0.0,no
Ashley Nielsen,male,20-40,3rd,S,England,340043.56308366585,5.535485280556863,0.0,0.0,no
Anna Mcgee,female,20-40,3rd,S,Sweden,392277.56308366585,6.616085280556863,1.0,0.0,no
Michael Adams,male,0-20,3rd,S,England,376254.56308366585,6.595485280556863,0.0,1.0,yes
Jennifer Price,female,0-20,3rd,S,England,361963.56308366585,6.595485280556863,0.0,1.0,yes
Amber Barry,male,20-40,2nd,S,England,27802.563083665864,10.525485280556865,0.0,0.0,no
Julia Terry,male,20-40,3rd,S,England,35526.56308366587,4.696385280556862,0.0,0.0,no
Christina Williams,male,0-20,3rd,S,Finland,374134.56308366585,4.706085280556863,0.0,0.0,no
Kenneth Jefferson,male,20-40,3rd,S,Argentina,28273.563083665864,4.535485280556863,0.0,0.0,no
Stephen Wolfe,male,20-40,3rd,S,Argentina,33658.56308366587,4.535485280556863,0.0,0.0,no
Richard Sanders,female,20-40,1st,S,United States,44528.56308366587,209.1263852805569,0.0,0.0,yes
Brenda Duncan DVM,male,20-40,3rd,S,England,3128365.563083666,5.535485280556863,0.0,0.0,no
Mary Mitchell,male,0-20,1st,S,Canada,137464.56308366585,148.68548528055686,1.0,2.0,yes
Holly Freeman,female,0-20,1st,S,Canada,139428.56308366585,148.68548528055686,1.0,2.0,no
Michael Sawyer,male,20-40,1st,S,Canada,137615.56308366585,148.68548528055686,1.0,2.0,no
Renee Watkins,female,20-40,1st,S,United States,40265.56308366587,148.68548528055686,1.0,2.0,no
Isaac Elliott,male,0-20,3rd,S,England,372814.56308366585,5.585485280556863,0.0,0.0,no
Nancy Reyes,male,0-20,3rd,C,Lebanon,27902.563083665864,4.566185280556864,0.0,0.0,no
Francisco Malone,female,0-20,3rd,S,Denmark,358031.56308366585,4.695585280556863,1.0,0.0,yes
Bryan Reynolds,male,20-40,3rd,S,Norway,29701.563083665864,19.626085280556865,0.0,0.0,no
Katherine Byrd,male,40-60,1st,S,United States,44807.56308366587,23.635485280556864,0.0,0.0,yes
Lauren Buck,male,0-20,3rd,S,Sweden,29676.563083665864,28.576085280556864,4.0,2.0,no
Miguel Cabrera,female,0-20,3rd,S,Sweden,374131.56308366585,28.576085280556864,4.0,2.0,no
Samantha Castillo,female,0-20,3rd,S,Sweden,374113.56308366585,28.576085280556864,4.0,2.0,no
Karen Vazquez,female,0-20,3rd,S,Finland,29203.563083665864,4.706085280556863,4.0,2.0,yes
Ashley Schultz,female,20-40,3rd,S,Sweden,376256.56308366585,4.676085280556864,4.0,2.0,no
Mark Price II,female,0-20,3rd,S,Sweden,374114.56308366585,28.576085280556864,4.0,2.0,no
Kyle Koch,female,0-20,3rd,S,Sweden,374128.56308366585,28.576085280556864,4.0,2.0,no
James Griffith,male,20-40,3rd,S,Sweden,29673.563083665864,28.576085280556864,1.0,5.0,no
Tina Mccarthy,male,20-40,3rd,S,Sweden,3128343.563083666,4.676085280556864,0.0,0.0,no
Cole Weaver,female,20-40,3rd,S,Sweden,374139.56308366585,28.576085280556864,1.0,5.0,no
Tracey Larson,male,0-20,3rd,S,Sweden,75922.56308366587,4.695585280556863,0.0,0.0,no
Barry Duncan,male,0-20,2nd,S,Argentina,56156.56308366587,8.625485280556862,0.0,0.0,no
Elizabeth Reynolds,male,20-40,2nd,S,England,61702.56308366587,7.6254852805568625,0.0,0.0,no
Kimberly Spears,female,60-80,1st,C,United States,140845.56308366585,74.71568528055687,1.0,0.0,yes
Charles Edwards,male,20-40,1st,B,Northern Ireland,139109.56308366585,,0.0,0.0,no
Jennifer Franco,male,20-40,3rd,S,Bulgaria,397427.56308366585,4.696585280556864,0.0,0.0,no
William Manning,female,20-40,2nd,S,England,277700.56308366585,23.525485280556865,1.0,0.0,yes
David Harris,male,20-40,2nd,S,England,29198.563083665864,23.525485280556865,1.0,0.0,no
Anthony Gray,female,40-60,1st,S,United States,44659.56308366587,48.61618528055686,2.0,0.0,yes
Jerome Koch,male,20-40,3rd,S,Switzerland,374141.56308366585,14.685485280556865,1.0,0.0,no
Karen Watts,female,0-20,3rd,S,Switzerland,29704.563083665864,14.685485280556865,1.0,0.0,no
Gina Oneal,male,20-40,3rd,S,Sweden,29676.563083665864,4.676085280556864,0.0,0.0,no
Sophia Hughes,male,60-80,1st,C,Argentina,44526.56308366587,46.62558528055686,0.0,0.0,no
Lori Perez,male,40-60,2nd,S,England,29977.563083665864,10.525485280556865,0.0,0.0,no
Brian Ford,male,20-40,3rd,S,Argentina,409703.56308366585,4.535485280556863,0.0,0.0,no
Tyler Ortega,male,0-20,3rd,S,Sweden,29719.563083665864,28.596385280556863,4.0,2.0,no
Robert Nelson,male,0-20,3rd,S,Sweden,376288.56308366585,28.596385280556863,4.0,2.0,no
Amy Miller,male,0-20,3rd,S,Sweden,374139.56308366585,28.596385280556863,4.0,2.0,yes
Richard Shaw,male,0-20,3rd,S,Sweden,374123.56308366585,28.596385280556863,4.0,2.0,no
Jessica Dunn,female,0-20,3rd,S,Sweden,33263.56308366587,28.596385280556863,4.0,2.0,yes
