name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
Justin Griffin,male,40-60,3rd,S,United States,377338.34461173706,1.8555994691740363,0.0,0.0,no
Sean Smith,male,0-20,3rd,S,United States,3115333.344611737,14.795599469174038,0.0,2.0,no
Garrett Parker,male,0-20,3rd,S,United States,361130.34461173706,14.795599469174038,1.0,1.0,no
Kevin Anderson,female,20-40,3rd,S,England,361148.34461173706,14.795599469174038,1.0,1.0,yes
Nicole Carney,female,0-20,3rd,S,Norway,381296.34461173706,1.8755994691740359,0.0,0.0,yes
Hannah Ortega,male,20-40,3rd,S,United States,16748.344611737077,1.8755994691740359,0.0,0.0,yes
Christina Burnett,male,20-40,2nd,C,France,264720.34461173706,18.74559946917404,1.0,0.0,no
Raven Hickman,female,20-40,2nd,C,France,251801.34461173706,18.74559946917404,1.0,0.0,yes
Brad Smith,male,20-40,3rd,C,Lebanon,16741.344611737077,12.896499469174037,0.0,0.0,yes
Carrie Barnes,male,0-20,3rd,S,Finland,361143.34461173706,1.9261994691740352,0.0,0.0,yes
Brenda Reid,male,20-40,3rd,S,Sweden,15667.344611737077,1.7955994691740367,0.0,0.0,no
Ashley Nielsen,male,20-40,3rd,S,England,327058.34461173706,2.755599469174035,0.0,0.0,no
Anna Mcgee,female,20-40,3rd,S,Sweden,379292.34461173706,3.8361994691740353,1.0,0.0,no
Michael Adams,male,0-20,3rd,S,England,363269.34461173706,3.8155994691740354,0.0,1.0,yes
Jennifer Price,female,0-20,3rd,S,England,348978.34461173706,3.8155994691740354,0.0,1.0,yes
Amber Barry,male,20-40,2nd,S,England,14817.344611737077,7.745599469174037,0.0,0.0,no
Julia Terry,male,20-40,3rd,S,England,22541.34461173708,1.9164994691740347,0.0,0.0,no
Christina Williams,male,0-20,3rd,S,Finland,361149.34461173706,1.9261994691740352,0.0,0.0,no
Kenneth Jefferson,male,20-40,3rd,S,Argentina,15288.344611737077,1.7555994691740349,0.0,0.0,no
Stephen Wolfe,male,20-40,3rd,S,Argentina,20673.34461173708,1.7555994691740349,0.0,0.0,no
Richard Sanders,female,20-40,1st,S,United States,31543.34461173708,206.34649946917406,0.0,0.0,yes
Brenda Duncan DVM,male,20-40,3rd,S,England,3115380.344611737,2.755599469174035,0.0,0.0,no
Mary Mitchell,male,0-20,1st,S,Canada,124479.34461173706,145.90559946917404,1.0,2.0,yes
Holly Freeman,female,0-20,1st,S,Canada,126443.34461173706,145.90559946917404,1.0,2.0,no
Michael Sawyer,male,20-40,1st,S,Canada,124630.34461173706,145.90559946917404,1.0,2.0,no
Renee Watkins,female,20-40,1st,S,United States,27280.34461173708,145.90559946917404,1.0,2.0,no
Isaac Elliott,male,0-20,3rd,S,England,359829.34461173706,2.8055994691740356,0.0,0.0,no
Nancy Reyes,male,0-20,3rd,C,Lebanon,14917.344611737077,1.7862994691740361,0.0,0.0,no
