name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
"Burke, Mr. Jeremiah",male,40-60,3rd,S,Nationality_1,368107.2199670966,4.805268566127491,0.0,0.0,no
"Mason, Mr. J.",male,0-20,3rd,S,Nationality_1,21391.2199670966,17.745268566127493,0.0,2.0,no
"Neal, Mr. Bentley Harold",male,0-20,3rd,S,Nationality_1,3077299.2199670966,17.745268566127493,1.0,1.0,no
"Reed, Mr. James George",female,20-40,3rd,S,Nationality_2,-21302.780032903403,17.745268566127493,1.0,1.0,yes
"Roth, Miss. Sarah",female,0-20,3rd,S,Nationality_3,323098.2199670966,4.825268566127491,0.0,0.0,yes
"Jones, Mr. Charles Cresson",male,20-40,3rd,S,Nationality_1,13682.219967096597,4.825268566127491,0.0,0.0,yes
"Andrews, Mr. Thomas",male,20-40,2nd,C,Nationality_4,10662.219967096597,21.69526856612749,1.0,0.0,no
"Abbing, Mr. Anthony",female,20-40,2nd,C,Nationality_4,-9109.780032903403,21.69526856612749,1.0,0.0,yes
"Hold, Mr. Stephen",male,20-40,3rd,C,Nationality_5,-20518.780032903403,15.84616856612749,0.0,0.0,yes
"Andrews, Mr. Thomas",male,0-20,3rd,S,Nationality_6,-21522.780032903403,4.87586856612749,0.0,0.0,yes
"White, Mrs. Ella",male,20-40,3rd,S,Nationality_7,323753.2199670966,4.745268566127491,0.0,0.0,no
"Chaffee, Mrs. Carrie Constance",male,20-40,3rd,S,Nationality_2,-21315.780032903403,5.70526856612749,0.0,0.0,no
"Hall, Mr. J.",female,20-40,3rd,S,Nationality_7,326421.2199670966,6.7858685661274905,1.0,0.0,no
"Abbing, Mr. Anthony",male,0-20,3rd,S,Nationality_2,3077277.2199670966,6.7652685661274905,0.0,1.0,yes
"Adams, Mr. John",female,0-20,3rd,S,Nationality_2,323086.2199670966,6.7652685661274905,0.0,1.0,yes
"Adams, Mr. John",male,20-40,2nd,S,Nationality_2,199607.2199670966,10.69526856612749,0.0,0.0,no
"Charters, Mr. David",male,20-40,3rd,S,Nationality_2,-21323.780032903403,4.86616856612749,0.0,0.0,no
"Curtis, Mr. Arthur",male,0-20,3rd,S,Nationality_6,-21308.780032903403,4.87586856612749,0.0,0.0,no
"Stewart, Mr. John",male,20-40,3rd,S,Nationality_8,306983.2199670966,4.70526856612749,0.0,0.0,no
"Adams, Mr. John",male,20-40,3rd,S,Nationality_8,-20524.780032903403,4.70526856612749,0.0,0.0,no
"Becker, Master. Richard F.",female,20-40,1st,S,Nationality_1,-6231.780032903404,209.29616856612748,0.0,0.0,yes
"Farrell, Mr. James",male,20-40,3rd,S,Nationality_2,324133.2199670966,5.70526856612749,0.0,0.0,no
"Kelly, Miss. Mary",male,0-20,1st,S,Nationality_9,89812.2199670966,148.85526856612748,1.0,2.0,yes
"Farrell, Mr. James",female,0-20,1st,S,Nationality_9,89070.2199670966,148.85526856612748,1.0,2.0,no
"Wright, Miss. Marion",male,20-40,1st,S,Nationality_9,-6506.780032903404,148.85526856612748,1.0,2.0,no
"Buckley, Miss. Katherine",female,20-40,1st,S,Nationality_1,-6230.780032903404,148.85526856612748,1.0,2.0,no
"Walker, Mr. William Anderson",male,0-20,3rd,S,Nationality_2,323101.2199670966,5.755268566127491,0.0,0.0,no
"Allison, Mr. Hudson Joshua Creighton",male,0-20,3rd,C,Nationality_5,-16448.780032903403,4.735968566127491,0.0,0.0,no
"Hall, Mr. J.",female,0-20,3rd,S,Nationality_10,-21673.780032903403,4.86536856612749,1.0,0.0,yes
"Head, Mr. Christopher",male,20-40,3rd,S,Nationality_3,325219.2199670966,19.79586856612749,0.0,0.0,no
"Abbing, Mr. Anthony",male,40-60,1st,S,Nationality_1,89800.2199670966,23.80526856612749,0.0,0.0,yes
"Abbing, Mr. Anthony",male,0-20,3rd,S,Nationality_7,-16721.780032903403,28.74586856612749,4.0,2.0,no
"Becker, Master. Richard F.",female,0-20,3rd,S,Nationality_7,344334.2199670966,28.74586856612749,4.0,2.0,no
"McNamee, Mrs. Eileen",female,0-20,3rd,S,Nationality_7,340517.2199670966,28.74586856612749,4.0,2.0,no
"Marks, Mr. James",female,0-20,3rd,S,Nationality_6,-17380.780032903403,4.87586856612749,4.0,2.0,yes
"Cornblatt, Mr. Harris",female,20-40,3rd,S,Nationality_7,-2548.7800329034035,4.845868566127491,4.0,2.0,no
"Head, Mr. Christopher",female,0-20,3rd,S,Nationality_7,323476.2199670966,28.74586856612749,4.0,2.0,no
"Radeff, Mr. Alexander",female,0-20,3rd,S,Nationality_7,343237.2199670966,28.74586856612749,4.0,2.0,no
"Ellis, Mr. John Bertie",male,20-40,3rd,S,Nationality_7,306921.2199670966,28.74586856612749,1.0,5.0,no
"Silvey, Mrs. Alice Gray",male,20-40,3rd,S,Nationality_7,-21673.780032903403,4.845868566127491,0.0,0.0,no
"Goldschmidt, Mr. George B.",female,20-40,3rd,S,Nationality_7,-2813.7800329034035,28.74586856612749,1.0,5.0,no
"Abbing, Mr. Anthony",male,0-20,3rd,S,Nationality_7,339302.2199670966,4.86536856612749,0.0,0.0,no
"Caram, Mr. Joseph",male,0-20,2nd,S,Nationality_8,5022.2199670965965,8.79526856612749,0.0,0.0,no
"Abbing, Mr. Anthony",male,20-40,2nd,S,Nationality_2,210615.2199670966,7.79526856612749,0.0,0.0,no
"Douglas, Mrs. Mahala",female,60-80,1st,C,Nationality_1,89802.2199670966,74.8854685661275,1.0,0.0,yes
"Webber, Miss. Susan",male,20-40,1st,B,Nationality_11,89787.2199670966,,0.0,0.0,no
"Davidson, Mr. Thornton",male,20-40,3rd,S,Nationality_12,326061.2199670966,4.866368566127491,0.0,0.0,no
"Ford, Mr. Arthur",female,20-40,2nd,S,Nationality_2,216272.2199670966,23.69526856612749,1.0,0.0,yes
"Dodge, Dr. Washington",male,20-40,2nd,S,Nationality_2,224755.2199670966,23.69526856612749,1.0,0.0,no
"Abbing, Mr. Anthony",female,40-60,1st,S,Nationality_1,-2760.7800329034035,48.78596856612749,2.0,0.0,yes
"Farrell, Mr. James",male,20-40,3rd,S,Nationality_13,-21360.780032903403,14.85526856612749,1.0,0.0,no
"Cox, Mr. William Denton",female,0-20,3rd,S,Nationality_13,340859.2199670966,14.85526856612749,1.0,0.0,no
"Andrews, Mr. Thomas",male,20-40,3rd,S,Nationality_7,3077306.2199670966,4.845868566127491,0.0,0.0,no
"Lucas, Mr. William Arthur",male,60-80,1st,C,Nationality_8,-6234.780032903404,46.795368566127486,0.0,0.0,no
"Stokes, Mr. Philip Joseph",male,40-60,2nd,S,Nationality_2,5114.2199670965965,10.69526856612749,0.0,0.0,no
"Abbing, Mr. Anthony",male,20-40,3rd,S,Nationality_8,-20514.780032903403,4.70526856612749,0.0,0.0,no
"Sadlier, Mr. Matthew",male,0-20,3rd,S,Nationality_7,12579.219967096597,28.766168566127494,4.0,2.0,no
"Abbing, Mr. Anthony",male,0-20,3rd,S,Nationality_7,-20858.780032903403,28.766168566127494,4.0,2.0,no
"Jones, Mr. Charles Cresson",male,0-20,3rd,S,Nationality_7,344714.2199670966,28.766168566127494,4.0,2.0,yes
"Cox, Mr. William Denton",male,0-20,3rd,S,Nationality_7,323090.2199670966,28.766168566127494,4.0,2.0,no
"Abbing, Mr. Anthony",female,0-20,3rd,S,Nationality_7,323076.2199670966,28.766168566127494,4.0,2.0,yes
"Perry, Mr. Edgar Lionel",male,20-40,3rd,S,Nationality_7,325267.2199670966,28.766168566127494,1.0,5.0,no
"Arnold-Franchi, Mr. Josef",male,20-40,3rd,S,Nationality_7,291100.2199670966,4.84636856612749,0.0,0.0,yes
"Lane, Mr. Patrick",female,20-40,3rd,S,Nationality_7,-20578.780032903403,28.766168566127494,1.0,5.0,yes
"McCarthy, Miss. Catherine",female,40-60,3rd,C,Nationality_5,339305.2199670966,4.735868566127492,0.0,0.0,yes
"Robins, Mr. Victor",male,20-40,3rd,S,Nationality_8,340869.2199670966,4.70526856612749,0.0,0.0,no
"Milling, Mr. Jacob Christian",male,40-60,1st,C,Nationality_1,86476.2199670966,244.79586856612747,1.0,0.0,no
"Allison, Mr. Hudson Joshua Creighton",female,0-20,1st,C,Nationality_1,89787.2199670966,244.79586856612747,1.0,0.0,yes
"Hall, Mr. J.",female,0-20,3rd,C,Nationality_5,325247.2199670966,11.78546856612749,0.0,0.0,no
"Connaughton, Mr. Michael",male,20-40,3rd,C,Nationality_9,325217.2199670966,4.735868566127492,0.0,0.0,no
"Chapman, Mr. Charles Henry",female,20-40,1st,C,Nationality_4,-6233.780032903404,66.7552685661275,0.0,0.0,yes
"Hodgkinson, Mr. Leonard",male,20-40,3rd,S,Nationality_7,368102.2199670966,4.86536856612749,0.0,0.0,no
"Lee, Mr. H.",female,0-20,3rd,C,Nationality_5,291162.2199670966,4.735968566127491,0.0,0.0,yes
"Fleming, Miss. Honor",male,20-40,3rd,S,Nationality_6,-21844.780032903403,12.86526856612749,1.0,0.0,no
"Farrell, Mr. James",female,20-40,3rd,S,Nationality_6,-2817.7800329034035,12.86526856612749,3.0,0.0,yes
"Abbing, Mr. Anthony",female,0-20,3rd,C,Nationality_5,-6619.780032903404,16.745468566127492,2.0,1.0,yes
"Allen, Mr. Frederick",female,0-20,3rd,C,Nationality_5,360472.2199670966,16.745468566127492,2.0,1.0,yes
"Head, Mr. Christopher",female,0-20,3rd,C,Nationality_5,-21328.780032903403,16.745468566127492,2.0,1.0,yes
"Roberts, Mr. Hugh H.",female,20-40,3rd,C,Nationality_5,324134.2199670966,16.745468566127492,0.0,3.0,yes
"Abbing, Mr. Anthony",female,0-20,3rd,S,Nationality_2,-21674.780032903403,5.70526856612749,0.0,0.0,yes
"Green, Mr. George",male,20-40,3rd,C,Nationality_5,310926.2199670966,4.735868566127492,0.0,0.0,no
"Hall, Mr. J.",male,0-20,2nd,S,Nationality_2,5117.2199670965965,8.79526856612749,0.0,0.0,no
"Taylor, Mr. J.",male,20-40,2nd,S,Nationality_14,5048.2199670965965,7.79526856612749,0.0,0.0,no
"Abbing, Mr. Anthony",male,20-40,3rd,S,Nationality_15,340861.2199670966,4.866368566127491,0.0,0.0,no
"Lines, Mrs. Elizabeth Lindsey",female,20-40,2nd,S,Nationality_2,195544.2199670966,10.69526856612749,0.0,0.0,yes
"Drew, Master. Marshall Brines",male,20-40,2nd,S,Nationality_2,7037.2199670965965,7.79526856612749,0.0,0.0,no
"Abbing, Mr. Anthony",female,20-40,3rd,S,Nationality_16,321784.2199670966,5.826068566127491,0.0,0.0,yes
"Smith, Mr. F.",female,0-20,3rd,C,Nationality_5,310925.2199670966,11.78536856612749,0.0,1.0,no
"Taylor, Mr. J.",female,40-60,3rd,C,Nationality_5,326040.2199670966,11.78536856612749,0.0,1.0,no
"Jones, Mr. Charles Cresson",female,20-40,1st,S,Nationality_17,-6218.780032903404,75.8652685661275,0.0,0.0,yes
"Campbell, Mr. Donald S.",male,40-60,1st,S,Nationality_2,12939.219967096597,27.69526856612749,0.0,0.0,yes
"Butler, Mr. Reginald Fenton",female,20-40,3rd,Q,Nationality_18,346381.2199670966,4.86596856612749,0.0,0.0,no
"Andersen-Jensen, Miss. Carla Christine Nielsine",male,20-40,3rd,S,Nationality_2,-17381.780032903403,5.70526856612749,0.0,0.0,no
"Williams, Mr. Leslie",female,20-40,1st,C,Nationality_19,-7022.780032903404,73.7462685661275,0.0,0.0,yes
"Ismay, Mr. Joseph Bruce",male,40-60,2nd,S,Nationality_2,224745.2199670966,9.79586856612749,0.0,0.0,no
"Abbing, Mr. Anthony",male,20-40,3rd,S,Nationality_12,323072.2199670966,4.866368566127491,0.0,0.0,no
"Rice, Mr. Charles",male,40-60,1st,C,Nationality_1,88390.2199670966,22.87586856612749,0.0,0.0,no
"Kerr, Mr. Thomas Russell",male,20-40,1st,C,Nationality_9,-10481.780032903403,244.7957685661275,0.0,1.0,no
"Fortune, Mr. Mark",female,40-60,1st,C,Nationality_9,86476.2199670966,244.7957685661275,0.0,1.0,yes
"Smith, Mr. F.",male,20-40,2nd,S,Nationality_2,226665.2199670966,23.69526856612749,1.0,0.0,yes
"Curtis, Mr. Arthur",female,20-40,2nd,S,Nationality_2,213747.2199670966,23.69526856612749,1.0,0.0,yes
"Willer, Mr. Aaron",male,20-40,1st,S,Nationality_9,88069.2199670966,72.73626856612749,0.0,0.0,no
"Abbing, Mr. Anthony",male,40-60,2nd,S,Nationality_2,213227.2199670966,23.69526856612749,0.0,0.0,no
"Abbing, Mr. Anthony",male,0-20,3rd,S,Nationality_2,-21314.780032903403,5.70526856612749,0.0,0.0,no
"Wilson, Miss. Helen Alice",male,0-20,2nd,S,Nationality_20,206147.2199670966,36.69526856612749,2.0,1.0,yes
"Gallagher, Mr. Martin",female,0-20,2nd,S,Nationality_20,213809.2199670966,36.69526856612749,2.0,1.0,yes
"Abbing, Mr. Anthony",female,0-20,2nd,S,Nationality_20,-21062.780032903403,36.69526856612749,2.0,1.0,yes
"Abbing, Mr. Anthony",female,20-40,2nd,S,Nationality_1,-9109.780032903403,36.69526856612749,0.0,3.0,yes
"Becker, Master. Richard F.",male,20-40,1st,S,Nationality_1,-4064.780032903404,49.80536856612749,1.0,1.0,yes
"Bourke, Mrs. Catherine",female,40-60,1st,S,Nationality_1,89520.2199670966,49.80536856612749,1.0,1.0,yes
"Connaughton, Mr. Michael",male,20-40,2nd,S,Nationality_2,226665.2199670966,10.69526856612749,0.0,0.0,yes
"Johnson, Mr. August",male,20-40,1st,C,Nationality_1,-6375.780032903404,27.69526856612749,0.0,0.0,yes
"Andrews, Mr. Thomas",male,20-40,3rd,S,Nationality_7,319131.2199670966,4.845868566127491,0.0,0.0,no
