manner_of_death,armed,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,city,age,city,gender,longitude,latitude,race,state,name,id
shot,gun,True,attack,Not fleeing,False,True,Baltimore,18.0,Los Angeles,M,-75.2967,33.7248,H,CA,Chad Mcconnell,1
shot,gun,False,attack,Not fleeing,False,True,Kerrville,28.8,Albuquerque,M,-77.43870000000001,34.9911,W,CA,Robert Davis,2
shot and Tasered,unarmed,False,other,Not fleeing,False,True,Dearborn Heights,50.4,San Antonio,M,-86.9778,29.6622,W,CA,Todd Jackson,3
shot,toy weapon,True,attack,Not fleeing,False,True,Butler Township,46.8,Phoenix,M,-74.4885,25.335,W,CA,Elizabeth York,4
shot,nail gun,False,attack,Not fleeing,False,True,Edmond,17.1,Atlanta,M,-84.3714,29.242799999999995,B,CA,Morgan Diaz,5
shot,gun,False,attack,Not fleeing,False,True,Kings Mountain,25.2,Boise,M,-73.3608,24.6834,W,CA,Caitlin Hall,6
shot,gun,False,attack,Car,False,True,Essex,28.8,Bakersfield,M,-111.0456,38.3814,W,CA,Jeffrey Rojas,7
shot,gun,False,attack,Not fleeing,False,True,Meadow Vista,31.5,San Antonio,M,-108.3825,33.6285,W,CA,Sabrina Weaver,8
shot,unarmed,False,other,Not fleeing,True,True,Amarillo,21.6,Houston,M,-74.952,32.5764,W,CA,James Wiggins,9
shot,toy weapon,False,attack,Not fleeing,False,True,Alton,42.3,Phoenix,M,-105.1488,30.994200000000003,H,CA,Natalie Evans,10
shot and Tasered,knife,False,attack,Not fleeing,False,True,Milwaukee,36.0,Phoenix,M,-110.0565,34.479,H,CA,Jennifer Ochoa,11
shot,gun,False,attack,Not fleeing,False,True,Columbus,30.6,Columbus,M,-73.55789999999999,27.3078,W,CA,Lisa Marquez,12
shot,knife,True,other,Not fleeing,False,True,Fresno,27.9,Columbus,M,-83.7108,40.4667,W,CA,Crystal Drake,13
shot,gun,False,attack,Car,False,True,San Antonio,43.2,Jacksonville,M,-75.8412,30.4686,W,CA,Emily Johnson,14
shot,gun,False,attack,Foot,True,True,Oakland,32.4,Los Angeles,M,-72.7092,31.7511,W,CA,Melissa Johnson,15
shot,,False,undetermined,Not fleeing,False,True,Pueblo,41.4,Los Angeles,M,-84.9717,35.1909,W,CA,Mr. James Green,16
shot,shovel,False,attack,Not fleeing,True,True,Palmdale,17.1,Jacksonville,M,-81.13770000000001,26.9856,W,CA,Jesse Moore,17
shot,unarmed,False,attack,Not fleeing,False,True,North Miami Beach,37.8,Los Angeles,M,-94.4208,35.7579,W,CA,Jamie Johnson,18
shot,gun,False,attack,Not fleeing,True,True,Hessel,23.4,Charlotte,M,-100.6713,30.0672,W,CA,Ian Walsh MD,19
shot,gun,False,attack,Not fleeing,False,True,St. Augustine,32.4,Los Angeles,M,-73.7316,28.7541,W,CA,Amy Parrish,20
shot,gun,False,attack,Not fleeing,False,True,Palmdale,27.0,San Antonio,M,-74.9394,27.7839,W,CA,Jennifer Clark,21
shot,gun,True,attack,Not fleeing,False,True,Wabash,17.1,San Antonio,M,-89.52120000000001,24.723,W,CA,Arthur King,22
shot,gun,False,attack,Not fleeing,False,True,Columbus,27.0,Ashville,M,-109.5705,33.498,W,CA,Dawn Moore,23
shot and Tasered,gun,False,attack,Foot,False,True,Clermont,38.7,Los Angeles,M,-105.5421,29.6793,W,CA,Angela Williams,24
shot,gun,False,attack,Foot,True,True,Garland,27.0,Houston,M,-70.6725,34.223400000000005,W,CA,Raymond Wright,25
shot,knife,True,other,Not fleeing,False,True,Auburn,45.0,Los Angeles,M,-102.636,31.6917,H,CA,John Brown,26
shot,,False,attack,Not fleeing,False,True,Cross Lanes,32.4,Chicago,M,-79.4403,27.7506,H,CA,Amy Gomez,27
shot,,False,attack,Not fleeing,False,True,Greenville,20.7,Jacksonville,M,-77.93459999999999,32.6403,W,CA,John Adams,28
shot,gun,True,attack,Not fleeing,False,True,Lisle,37.8,Jacksonville,M,-95.9274,31.572900000000004,W,CA,Shari Schaefer,29
shot,knife,False,attack,Not fleeing,False,True,Napa,33.3,Phoenix,M,-64.6902,37.8504,W,CA,Dr. Megan Richards,30
shot,gun,False,attack,Not fleeing,False,True,Charleston,33.3,Los Angeles,M,-68.2389,35.6391,W,CA,William Jacobs,31
shot,knife,False,attack,Not fleeing,True,True,Morgantown,34.2,Orlando,M,-86.346,37.1448,W,CA,Robert Navarro,32
shot,gun,False,attack,Foot,False,True,Dallas,28.8,Orlando,M,-74.1069,26.6508,W,CA,Jacob Rodriguez,33
shot,gun,False,attack,Not fleeing,False,True,Oxon Hill,26.1,Phoenix,M,-100.8666,30.1392,W,CA,William Shepherd,34
shot,gun,True,attack,Not fleeing,False,True,Dallas,53.1,Los Angeles,M,-80.5698,30.9015,W,CA,Andrew Padilla,35
shot,knife,True,other,Not fleeing,False,True,Kansas City,44.1,San Antonio,M,-106.3692,30.573899999999995,W,CA,Lisa Greer,36
shot,gun,False,attack,Not fleeing,False,True,Oregon City,48.6,Phoenix,M,-109.782,34.5186,W,CA,Jacob Beltran,37
shot,gun,False,attack,Car,False,True,Sebring,39.6,Los Angeles,M,-71.8551,36.3573,H,CA,Kevin Lewis,38
shot and Tasered,knife,False,other,Not fleeing,False,True,East Cleveland,26.1,Phoenix,M,-100.6569,29.9286,W,CA,William Kelly,39
shot,gun,False,attack,Foot,True,True,Carson City,36.9,Los Angeles,M,-109.7982,40.8231,H,CA,Timothy Martin,40
shot,gun,False,attack,Not fleeing,False,True,Austin,28.8,Las Vegas,M,-85.977,27.0243,B,CA,Monica Mann,41
shot,knife,False,attack,Not fleeing,False,True,Marine City,33.3,Boise,M,-84.38759999999999,29.1933,W,CA,Joshua Gray,42
shot,gun,True,attack,Not fleeing,False,True,Rancho Cordova,41.4,Los Angeles,M,-109.6605,35.7525,B,CA,Shannon Lee,43
shot and Tasered,gun,True,attack,Not fleeing,False,True,Las Vegas,43.2,Arlington,M,-106.4367,30.6378,W,CA,Olivia Carr,44
shot,knife,False,attack,Not fleeing,False,True,San Jose,27.0,Phoenix,M,-89.5635,30.8304,W,CA,Tony Walker,45
shot,,False,other,Car,False,True,Pearl,41.4,Phoenix,M,-74.1951,25.2405,W,CA,Mark Bell,46
shot,gun,False,attack,Not fleeing,False,True,Dalton,38.7,Houston,M,-85.284,28.224,W,CA,Shannon Johnson,47
shot,gun,False,attack,Foot,False,True,Stockton,53.1,Phoenix,M,-74.6991,36.0585,H,CA,Aaron Lee,48
shot,gun,False,attack,Not fleeing,False,True,Columbus,28.8,Phoenix,M,-66.5226,36.747,W,CA,Troy Evans,49
shot,gun,True,attack,Not fleeing,False,True,Santa Maria,43.2,Bakersfield,M,-96.633,40.7853,W,CA,Max Lloyd,50
