date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,id,name
2022-11-06,shot,gun,20.0,M,H,Baltimore,AZ,True,attack,Not fleeing,False,-83.663,37.472,True,1,Chad Mcconnell
2016-01-20,shot,gun,32.0,M,W,Kerrville,ME,False,attack,Not fleeing,False,-86.043,38.879,True,2,Robert Davis
2020-08-29,shot and Tasered,unarmed,56.0,M,B,Dearborn Heights,NC,False,other,Not fleeing,False,-96.642,32.958,True,3,Todd Jackson
2020-07-12,shot,toy weapon,52.0,F,B,Butler Township,FL,True,attack,Not fleeing,False,-82.765,28.15,True,4,Elizabeth York
2019-04-29,shot,nail gun,19.0,M,B,Edmond,MS,False,attack,Not fleeing,False,-93.746,32.492,True,5,Morgan Diaz
2017-10-19,shot,gun,28.0,M,W,Kings Mountain,CT,False,attack,Not fleeing,False,-81.512,27.426,True,6,Caitlin Hall
2015-02-14,shot,gun,32.0,M,B,Essex,WI,False,attack,Car,False,-123.384,42.646,True,7,Jeffrey Rojas
2015-07-23,shot,gun,35.0,M,B,Meadow Vista,NY,False,attack,Not fleeing,False,-120.425,37.365,True,8,Sabrina Weaver
2015-10-02,shot,unarmed,24.0,M,B,Amarillo,OK,False,other,Not fleeing,True,-83.28,36.196,True,9,James Wiggins
2018-01-26,shot,toy weapon,47.0,M,W,Alton,CA,False,attack,Not fleeing,False,-116.832,34.438,True,10,Natalie Evans
2016-07-23,shot and Tasered,knife,40.0,M,W,Milwaukee,CA,False,attack,Not fleeing,False,-122.285,38.31,True,11,Jennifer Ochoa
2021-06-08,shot,gun,34.0,M,W,Columbus,KS,False,attack,Not fleeing,False,-81.731,30.342,True,12,Lisa Marquez
2019-02-12,shot,knife,31.0,F,W,Fresno,KS,True,other,Not fleeing,False,-93.012,44.963,True,13,Crystal Drake
2020-09-22,shot,gun,48.0,M,W,San Antonio,AL,False,attack,Car,False,-84.268,33.854,True,14,Emily Johnson
2015-08-12,shot,gun,36.0,M,B,Oakland,TX,False,attack,Foot,True,-80.788,35.279,True,15,Melissa Johnson
2018-01-22,shot,,46.0,M,W,Pueblo,MI,False,undetermined,Not fleeing,False,-94.413,39.101,True,16,Mr. James Green
2020-06-13,shot,shovel,19.0,M,B,Palmdale,AL,False,attack,Not fleeing,True,-90.153,29.984,True,17,Jesse Moore
2020-04-06,shot,unarmed,42.0,M,B,North Miami Beach,TX,False,attack,Not fleeing,False,-104.912,39.731,True,18,Jamie Johnson
2016-10-04,shot,gun,26.0,M,W,Hessel,ID,False,attack,Not fleeing,True,-111.857,33.408,True,19,Ian Walsh MD
2015-05-14,shot,gun,36.0,M,W,St. Augustine,PA,False,attack,Not fleeing,False,-81.924,31.949,True,20,Amy Parrish
