name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
"Abbing, Mr. Anthony",male,43.671039887531016,3rd,S,United States,5547.0,29.0350738839356,0.0,0.0,no
"Abbott, Mr. Eugene Joseph",male,13.970622894696257,3rd,S,United States,2673.0,22.72369976328108,0.0,2.0,no
"Abbott, Mr. Rossmore Edward",male,-3.0305983824658185,3rd,S,United States,2673.0,67.58861872657533,1.0,1.0,no
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,28.438625209440914,3rd,S,England,2673.0,51.34867314160966,1.0,1.0,yes
"Abelseth, Miss. Karen Marie",female,29.69747224912804,3rd,S,Norway,348125.0,-2.5436579404349464,0.0,0.0,yes
"Abelseth, Mr. Olaus Jørgensen",male,33.93075306582844,3rd,S,United States,348122.0,-32.206684907026165,0.0,0.0,yes
"Abelson, Mr. Samuel",male,61.92244372866564,2nd,C,France,3381.0,23.14064494791369,1.0,0.0,no
"Abelson, Mrs. Hannah",female,29.162863346043434,2nd,C,France,3381.0,-35.34537147949967,1.0,0.0,yes
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,33.30311837401516,3rd,C,Lebanon,2699.0,-26.379943547334264,0.0,0.0,yes
"Abrahamsson, Mr. Abraham August Johannes",male,7.1716774641671215,3rd,S,Finland,3101284.0,-22.941511635413256,0.0,0.0,yes
"Ådahl, Mr. Mauritz",male,15.921142597806767,3rd,S,Sweden,7076.0,47.68732470598702,0.0,0.0,no
"Adams, Mr. John",male,30.261050800632063,3rd,S,England,341826.0,-58.29853542674561,0.0,0.0,no
"Ahlin, Mrs. Johanna Persdotter",female,44.36009251220055,3rd,S,Sweden,7546.0,19.25703442977639,1.0,0.0,no
"Aks, Master. Frank Philip",male,10.291040458662522,3rd,S,England,392091.0,-87.80162914403758,0.0,1.0,yes
"Aks, Mrs. Leah",female,14.818691711927308,3rd,S,England,392091.0,15.730947206819227,0.0,1.0,yes
"Aldworth, Mr. Augustus Henry",male,23.002291940776324,2nd,S,England,248744.0,80.95652634467106,0.0,0.0,no
"Alexander, Mr. William Albert",male,7.855174395996848,3rd,S,England,3474.0,39.24208858513238,0.0,0.0,no
"Alhomäki, Mr. Ilmari Rudolf",male,-0.6193951081139488,3rd,S,Finland,3101287.0,57.26651526219075,0.0,0.0,no
"Ali, Mr. Ahmed",male,1.146181818576057,3rd,S,Argentina,3101311.0,3.100212860595272,0.0,0.0,no
"Ali, Mr. William",male,37.280309740549235,3rd,S,Argentina,3101312.0,107.88035866151273,0.0,0.0,no
"Allen, Miss. Elisabeth Walton",female,45.46513980819262,1st,S,United States,24160.0,144.08095875758747,0.0,0.0,yes
"Allen, Mr. William Henry",male,26.37026551878855,3rd,S,England,373450.0,-76.15721571101946,0.0,0.0,no
"Allison, Master. Hudson Trevor",male,2.238093230246066,1st,S,Canada,113781.0,134.83790665926148,1.0,2.0,yes
"Allison, Miss. Helen Loraine",female,3.884230326849015,1st,S,Canada,113781.0,102.41789399098383,1.0,2.0,no
"Allison, Mr. Hudson Joshua Creighton",male,40.7649920644368,1st,S,Canada,113781.0,99.71938671257931,1.0,2.0,no
"Allison, Mrs. Bessie Waldo",female,26.990707550274845,1st,S,United States,113781.0,72.18324673849786,1.0,2.0,no
"Allum, Mr. Owen George",male,27.221939287737644,3rd,S,England,2223.0,77.7612164560595,0.0,0.0,no
"Al-Munà, Mr. Farīd Husayn Qāsim",male,3.6874517361346353,3rd,C,Lebanon,2700.0,-30.76767941055045,0.0,0.0,no
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,20.351033411314443,3rd,S,Denmark,350046.0,-25.992530047815492,1.0,0.0,yes
"Andersen, Mr. Albert Karvin",male,39.29086499314534,3rd,S,Norway,4001.0,-61.312527752533526,0.0,0.0,no
"Anderson, Mr. Harry",male,57.295996988982736,1st,S,United States,19952.0,33.099018763520924,0.0,0.0,yes
"Andersson, Master. Sigvard Harald Elias",male,13.853825255922454,3rd,S,Sweden,347082.0,-71.93437345363694,4.0,2.0,no
"Andersson, Miss. Ebba Iris Alfrida",female,-3.054544474046775,3rd,S,Sweden,347082.0,59.01441672805416,4.0,2.0,no
"Andersson, Miss. Ellis Anna Maria",female,-7.089223589466238,3rd,S,Sweden,347082.0,84.16884368989727,4.0,2.0,no
"Andersson, Miss. Erna Alexandra",female,-3.850470007003267,3rd,S,Finland,3101281.0,-64.12561959049069,4.0,2.0,yes
"Andersson, Miss. Ida Augusta Margareta",female,27.576884861291582,3rd,S,Sweden,347091.0,86.7087437270703,4.0,2.0,no
"Andersson, Miss. Ingeborg Constanzia",female,11.769547177459328,3rd,S,Sweden,347082.0,66.44510220173431,4.0,2.0,no
"Andersson, Miss. Sigrid Elisabeth",female,20.68988296269992,3rd,S,Sweden,347082.0,75.10647947280773,4.0,2.0,no
"Andersson, Mr. Anders Johan",male,16.38494394687053,3rd,S,Sweden,347082.0,58.62069454323622,1.0,5.0,no
"Andersson, Mr. Johan Samuel",male,28.902247676338884,3rd,S,Sweden,347075.0,33.250723222513955,0.0,0.0,no
"Andersson, Mrs. Alfrida Konstantia Brogren",female,42.76182794390176,3rd,S,Sweden,347082.0,20.421797864768408,1.0,5.0,no
"Andreasson, Mr. Pål Edvin",male,-2.416314543135776,3rd,S,Sweden,347466.0,20.316333164033647,0.0,0.0,no
"Andrew, Mr. Edgar Samuel",male,25.859094218977987,2nd,S,Argentina,231945.0,-48.95930717360768,0.0,0.0,no
"Andrew, Mr. Frank Thomas",male,53.514375708309615,2nd,S,England,34050.0,-66.74667336488783,0.0,0.0,no
"Andrews, Miss. Kornelia Theodosia",female,65.9084097415105,1st,C,United States,13502.0,113.64575055466882,1.0,0.0,yes
"Andrews, Mr. Thomas",male,46.20178321082021,1st,B,Northern Ireland,112050.0,,0.0,0.0,no
