name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived
rudlpyfcytmnxwcfhnz,male,42.0,3rd,S,United States,5547.0,7.11,0.0,0.0,no
mpqmgkfgxzwnlhuqyjhxdwech,male,13.0,3rd,S,United States,2673.0,20.05,0.0,2.0,no
lrscgvtefsskxynmzrvmxjoczfw,male,16.0,3rd,S,United States,2673.0,20.05,1.0,1.0,no
fsiowoqypqhlzvuourbwqtqndyderg,female,39.0,3rd,S,England,2673.0,20.05,1.0,1.0,yes
dvbpnlejieqemmlxecjavetmujw,female,16.0,3rd,S,Norway,348125.0,7.13,0.0,0.0,yes
fummvcwdfwqnhllnvuvdakjfapmbc,male,25.0,3rd,S,United States,348122.0,7.13,0.0,0.0,yes
nwygtjpwigxxxiundvu,male,30.0,2nd,C,France,3381.0,24.0,1.0,0.0,no
uhhzzqauvgkdkvamijib,female,28.0,2nd,C,France,3381.0,24.0,1.0,0.0,yes
sgcrhueqmfovmqbnfvwmezrvvfyn,male,27.0,3rd,C,Lebanon,2699.0,18.1509,0.0,0.0,yes
fiiotbklwwtwoajnwrttmivashpeyeyptgdzsowh,male,20.0,3rd,S,Finland,3101284.0,7.1806,0.0,0.0,yes
fzbwdzkxdsielrblyp,male,30.0,3rd,S,Sweden,7076.0,7.05,0.0,0.0,no
cvcijrlngrwnmyl,male,27.0,3rd,S,England,341826.0,8.01,0.0,0.0,no
emjibklizzwtpffuoqdanslixcbdls,female,40.0,3rd,S,Sweden,7546.0,9.0906,1.0,0.0,no
dgjjshprodywucrbcwjvpqzav,male,0.8333333333,3rd,S,England,392091.0,9.07,0.0,1.0,yes
bbefxbbhjjriru,female,18.0,3rd,S,England,392091.0,9.07,0.0,1.0,yes
iujtvtdvajsqemytuabqlevejbvj,male,35.0,2nd,S,England,248744.0,13.0,0.0,0.0,no
wtcxgalhvqdlpkvmhwplbgduxanjx,male,25.0,3rd,S,England,3474.0,7.1709,0.0,0.0,no
inbzrrdorlcfmoppgdgdvnkwsal,male,19.0,3rd,S,Finland,3101287.0,7.1806,0.0,0.0,no
ykpfdmeoswhyuv,male,24.0,3rd,S,Argentina,3101311.0,7.01,0.0,0.0,no
tglfjovsyreouwpv,male,25.0,3rd,S,Argentina,3101312.0,7.01,0.0,0.0,no
ouemzdigjxhqmxtzxnasogpbrhvjp,female,29.0,1st,S,United States,24160.0,211.6009,0.0,0.0,yes
otgrxdbecgzbzkvhofhgtssl,male,39.0,3rd,S,England,373450.0,8.01,0.0,0.0,no
tdrcrqsmpwqdieqggpmfcwxuofayks,male,0.9166666667,1st,S,Canada,113781.0,151.16,1.0,2.0,yes
ionljwnejuqkphhqkiuhkfxvwlaq,female,2.0,1st,S,Canada,113781.0,151.16,1.0,2.0,no
qnbgptsrvjipxgwtvyotamgdjwnajopxyzni,male,30.0,1st,S,Canada,113781.0,151.16,1.0,2.0,no
mwlgzggvwzxkbgiocanzrjbcyq,female,25.0,1st,S,United States,113781.0,151.16,1.0,2.0,no
einxtlchnbufvshwkwwaqj,male,18.0,3rd,S,England,2223.0,8.06,0.0,0.0,no
brkopccgfoxibvnemiafyzvmbtvsvjz,male,19.0,3rd,C,Lebanon,2700.0,7.0407,0.0,0.0,no
hjtdqpgurseejysffowpbamwxvxfbyenhfwovgqhhloaier,female,19.0,3rd,S,Denmark,350046.0,7.1701,1.0,0.0,yes
qxnwcqawoezrxbznvpjrezpgmpg,male,33.0,3rd,S,Norway,4001.0,22.1006,0.0,0.0,no
ddvkjduiidbgytssoou,male,47.0,1st,S,United States,19952.0,26.11,0.0,0.0,yes
uqgpnkxuqbsiqghbsieykntywmrdtesgfkjmapr,male,4.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
mkwwlftzpiwljpwmbpfizsyqlccyzphwum,female,6.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
fbtwuttxkvjtpdddbntqkofvjvlgpwrdz,female,2.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
wcbwjhmeoivhhtjsctzbpzxqbchvusr,female,16.0,3rd,S,Finland,3101281.0,7.1806,4.0,2.0,yes
hypblgmiodekxzxweitovynlyayuvzpdbgxqdb,female,38.0,3rd,S,Sweden,347091.0,7.1506,4.0,2.0,no
sqxfnqxjihxzbbxywjjghjkymfgbmpcxqnhp,female,9.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
jdtmyxrwdwgmlkclawqbwhoqczvdgujcn,female,11.0,3rd,S,Sweden,347082.0,31.0506,4.0,2.0,no
vbkfwtdvbnxhyvtioukzzrdxain,male,39.0,3rd,S,Sweden,347082.0,31.0506,1.0,5.0,no
uupbmzlnsfbtgodktnaerotjnwl,male,26.0,3rd,S,Sweden,347075.0,7.1506,0.0,0.0,no
hpqgxaixgeaswblqlngkjobeeusitlivxzjzutupjh,female,39.0,3rd,S,Sweden,347082.0,31.0506,1.0,5.0,no
czshqyjyhgzbfadpjfxczgiov,male,20.0,3rd,S,Sweden,347466.0,7.1701,0.0,0.0,no
hgmsjcieszxrekmkzglohjyn,male,17.0,2nd,S,Argentina,231945.0,11.1,0.0,0.0,no
ldcikwrsuplyevnpggzaauud,male,27.0,2nd,S,England,34050.0,10.1,0.0,0.0,no
